occupancy_rate_at_booking,days_until_event,days_since_created,base_price,rule_based_multiplier,historical_adjustment,final_multiplier,purchase_price
0.64,56,8,1000,1.3,0.103,1.41,1410.0
0.11,9,7,1000,0.9,0.118,1.02,1020.0
0.11,54,28,1000,0.85,0.083,0.94,940.0
0.06,50,41,1000,0.81,-0.033,0.78,780.0
0.31,46,8,1000,1.03,-0.072,0.95,950.0
0.19,60,45,1000,0.92,0.033,0.95,950.0
0.28,11,51,1000,1.04,-0.061,0.98,980.0
0.36,12,5,1000,1.1,-0.014,1.09,1090.0
0.34,23,46,1000,1.06,-0.003,1.06,1060.0
0.83,9,66,1000,1.52,-0.009,1.51,1510.0
0.7,39,26,1000,1.36,-0.071,1.29,1290.0
0.66,2,53,1000,1.51,-0.014,1.5,1500.0
0.82,50,22,1000,1.46,-0.075,1.38,1380.0
0.69,12,37,1000,1.38,0.051,1.43,1430.0
0.61,18,36,1000,1.3,-0.067,1.23,1230.0
0.76,16,73,1000,1.43,0.046,1.48,1480.0
0.35,12,51,1000,1.09,-0.039,1.05,1050.0
0.09,11,1,1000,0.88,0.068,0.94,940.0
0.6,2,8,1000,1.46,-0.064,1.4,1400.0
0.21,16,22,1000,0.96,-0.026,0.94,940.0
0.12,21,76,1000,0.88,0.053,0.93,930.0
0.08,1,29,1000,1.12,0.024,1.14,1140.0
0.77,38,37,1000,1.42,-0.079,1.34,1340.0
0.15,20,65,1000,0.91,0.072,0.98,980.0
0.52,4,49,1000,1.31,-0.047,1.26,1260.0
0.45,58,67,1000,1.14,-0.022,1.12,1120.0
0.8,31,76,1000,1.45,-0.056,1.39,1390.0
0.69,23,26,1000,1.36,0.003,1.36,1360.0
0.18,19,18,1000,0.93,-0.062,0.87,870.0
0.14,59,14,1000,0.88,-0.027,0.85,850.0
0.32,18,19,1000,1.05,0.083,1.14,1140.0
0.83,57,65,1000,1.47,0.037,1.5,1500.0
0.52,56,85,1000,1.2,-0.016,1.19,1190.0
0.83,14,15,1000,1.5,0.047,1.54,1540.0
0.98,2,67,1000,1.78,-0.032,1.75,1750.0
0.5,5,37,1000,1.28,0.009,1.28,1280.0
0.54,14,67,1000,1.25,0.081,1.33,1330.0
0.56,37,21,1000,1.24,0.072,1.31,1310.0
0.74,29,43,1000,1.4,0.072,1.47,1470.0
0.9,5,65,1000,1.62,0.052,1.67,1670.0
0.73,41,57,1000,1.38,0.008,1.39,1390.0
0.35,22,3,1000,1.07,-0.041,1.03,1030.0
0.52,38,62,1000,1.21,-0.002,1.21,1210.0
0.54,50,74,1000,1.22,0.037,1.26,1260.0
0.84,59,28,1000,1.47,0.068,1.54,1540.0
0.1,11,56,1000,0.89,0.081,0.97,970.0
0.57,57,54,1000,1.24,0.027,1.27,1270.0
0.9,21,48,1000,1.54,-0.002,1.54,1540.0
0.89,15,13,1000,1.54,0.091,1.63,1630.0
0.52,2,38,1000,1.39,-0.016,1.38,1380.0
0.21,31,79,1000,0.95,0.065,1.01,1010.0
0.19,1,28,1000,1.21,-0.001,1.21,1210.0
0.78,28,41,1000,1.43,0.083,1.52,1520.0
0.65,28,68,1000,1.32,-0.044,1.28,1280.0
0.82,46,72,1000,1.46,0.011,1.47,1470.0
0.29,29,80,1000,1.02,-0.009,1.01,1010.0
0.41,50,64,1000,1.11,0.016,1.13,1130.0
0.58,54,82,1000,1.25,-0.062,1.19,1190.0
0.33,18,38,1000,1.06,-0.019,1.04,1040.0
0.26,44,9,1000,0.98,0.096,1.08,1080.0
0.8,11,24,1000,1.48,0.032,1.51,1510.0
0.8,2,55,1000,1.63,0.021,1.65,1650.0
0.84,55,41,1000,1.47,0.0,1.47,1470.0
0.14,26,41,1000,0.89,0.06,0.95,950.0
0.23,21,77,1000,0.97,-0.024,0.95,950.0
0.69,31,27,1000,1.36,-0.066,1.29,1290.0
0.45,39,55,1000,1.15,0.068,1.22,1220.0
0.61,3,77,1000,1.42,-0.03,1.39,1390.0
0.57,2,83,1000,1.43,0.077,1.51,1510.0
0.65,57,14,1000,1.31,0.074,1.39,1390.0
0.91,59,24,1000,1.53,0.018,1.55,1550.0
0.66,21,51,1000,1.34,0.034,1.37,1370.0
0.06,9,1,1000,0.86,0.075,0.94,940.0
0.94,50,31,1000,1.56,-0.053,1.51,1510.0
0.44,0,89,1000,1.72,0.022,1.75,1750.0
0.76,2,9,1000,1.6,-0.0,1.6,1600.0
0.73,12,78,1000,1.42,-0.053,1.36,1360.0
0.43,13,14,1000,1.16,-0.054,1.1,1100.0
0.68,28,19,1000,1.35,-0.019,1.33,1330.0
0.22,31,34,1000,0.96,0.026,0.98,980.0
0.45,53,54,1000,1.14,0.05,1.19,1190.0
0.99,52,17,1000,1.6,-0.027,1.58,1580.0
0.93,23,59,1000,1.57,0.042,1.61,1610.0
0.24,19,86,1000,0.98,-0.045,0.94,940.0
0.23,22,25,1000,0.97,0.11,1.08,1080.0
0.61,33,25,1000,1.29,0.001,1.29,1290.0
0.39,16,83,1000,1.12,-0.033,1.08,1080.0
0.07,42,29,1000,0.82,-0.068,0.76,760.0
0.66,49,64,1000,1.32,0.048,1.37,1370.0
0.32,5,36,1000,1.12,-0.039,1.08,1080.0
0.65,59,56,1000,1.31,0.069,1.38,1380.0
0.83,52,16,1000,1.47,0.068,1.53,1530.0
0.8,58,32,1000,1.44,-0.074,1.37,1370.0
0.9,50,1,1000,1.53,-0.044,1.48,1480.0
0.5,6,61,1000,1.26,-0.043,1.22,1220.0
0.15,50,26,1000,0.89,0.008,0.9,900.0
0.57,28,76,1000,1.26,-0.02,1.24,1240.0
0.48,19,60,1000,1.19,-0.064,1.12,1120.0
0.7,11,35,1000,1.4,-0.074,1.32,1320.0
0.23,24,59,1000,0.97,0.108,1.08,1080.0
0.88,24,88,1000,1.52,0.09,1.61,1610.0
0.63,13,40,1000,1.33,-0.006,1.32,1320.0
0.78,42,51,1000,1.43,-0.002,1.43,1430.0
0.48,44,3,1000,1.17,-0.029,1.14,1140.0
0.39,60,21,1000,1.09,-0.019,1.07,1070.0
0.32,19,16,1000,1.05,-0.049,1.0,1000.0
0.27,41,66,1000,0.99,0.102,1.1,1100.0
0.18,52,8,1000,0.91,0.058,0.97,970.0
0.44,26,25,1000,1.15,-0.029,1.12,1120.0
0.74,15,53,1000,1.42,0.086,1.5,1500.0
0.69,7,65,1000,1.41,-0.023,1.39,1390.0
0.07,36,9,1000,0.83,0.102,0.93,930.0
0.43,6,75,1000,1.2,-0.028,1.17,1170.0
0.87,28,72,1000,1.51,-0.05,1.46,1460.0
0.3,43,78,1000,1.02,0.021,1.04,1040.0
0.08,38,56,1000,0.83,-0.043,0.79,790.0
0.61,44,39,1000,1.28,0.064,1.35,1350.0
0.12,43,37,1000,0.87,-0.01,0.86,860.0
0.64,25,44,1000,1.32,-0.077,1.24,1240.0
0.94,0,8,1000,2.15,0.076,2.22,2220.0
0.62,58,49,1000,1.29,0.074,1.36,1360.0
0.48,5,9,1000,1.26,-0.02,1.24,1240.0
0.38,5,2,1000,1.17,0.065,1.24,1240.0
0.84,2,37,1000,1.66,0.013,1.68,1680.0
0.63,35,47,1000,1.3,0.111,1.41,1410.0
0.73,37,1,1000,1.39,0.056,1.44,1440.0
0.66,6,37,1000,1.4,-0.012,1.38,1380.0
0.25,26,86,1000,0.98,-0.049,0.94,940.0
0.78,35,46,1000,1.43,-0.019,1.41,1410.0
0.13,29,15,1000,0.88,-0.051,0.83,830.0
0.69,40,24,1000,1.35,0.088,1.44,1440.0
0.61,18,8,1000,1.3,0.034,1.33,1330.0
0.45,25,56,1000,1.16,-0.023,1.13,1130.0
0.83,49,28,1000,1.47,0.111,1.58,1580.0
0.09,37,78,1000,0.84,0.102,0.94,940.0
0.34,53,89,1000,1.05,-0.068,0.98,980.0
0.43,4,10,1000,1.24,-0.004,1.23,1230.0
0.12,21,33,1000,0.88,0.049,0.93,930.0
0.83,58,71,1000,1.47,0.105,1.57,1570.0
0.81,52,28,1000,1.45,-0.003,1.45,1450.0
0.5,33,68,1000,1.19,0.089,1.28,1280.0
0.28,42,61,1000,1.0,-0.033,0.97,970.0
0.74,54,49,1000,1.39,0.095,1.48,1480.0
0.15,50,38,1000,0.89,0.063,0.95,950.0
0.15,35,56,1000,0.89,-0.009,0.89,890.0
0.5,29,82,1000,1.2,-0.027,1.17,1170.0
0.2,51,13,1000,0.93,0.053,0.98,980.0
0.92,5,74,1000,1.63,-0.004,1.63,1630.0
0.32,0,74,1000,1.62,-0.021,1.6,1600.0
0.19,29,77,1000,0.93,0.069,1.0,1000.0
0.68,33,17,1000,1.35,0.099,1.44,1440.0
0.36,59,28,1000,1.07,-0.076,0.99,990.0
0.47,22,69,1000,1.18,0.059,1.23,1230.0
0.25,42,27,1000,0.98,-0.071,0.91,910.0
0.21,1,62,1000,1.23,0.009,1.24,1240.0
0.28,58,18,1000,1.0,-0.013,0.99,990.0
0.71,58,79,1000,1.36,0.07,1.43,1430.0
0.81,6,34,1000,1.52,-0.062,1.46,1460.0
0.41,53,72,1000,1.11,-0.069,1.04,1040.0
0.38,52,12,1000,1.08,0.022,1.11,1110.0
0.72,39,43,1000,1.38,-0.022,1.36,1360.0
0.6,43,5,1000,1.27,-0.05,1.22,1220.0
0.91,31,26,1000,1.54,0.032,1.57,1570.0
0.97,29,79,1000,1.59,0.038,1.63,1630.0
0.64,15,42,1000,1.33,0.006,1.34,1340.0
0.46,52,90,1000,1.15,0.077,1.23,1230.0
0.45,8,78,1000,1.2,-0.043,1.16,1160.0
0.82,53,60,1000,1.46,-0.048,1.41,1410.0
0.4,45,21,1000,1.1,-0.063,1.04,1040.0
0.72,57,90,1000,1.37,0.094,1.47,1470.0
0.84,0,85,1000,2.06,-0.031,2.03,2030.0
0.94,44,40,1000,1.56,0.119,1.68,1680.0
0.63,40,33,1000,1.3,-0.036,1.26,1260.0
0.41,16,11,1000,1.13,0.007,1.14,1140.0
0.12,23,17,1000,0.88,-0.065,0.81,810.0
0.5,48,44,1000,1.19,-0.043,1.14,1140.0
0.74,4,3,1000,1.5,-0.035,1.46,1460.0
0.79,26,78,1000,1.44,0.1,1.54,1540.0
0.21,38,58,1000,0.94,0.067,1.01,1010.0
0.43,10,77,1000,1.17,-0.065,1.11,1110.0
0.25,1,27,1000,1.26,-0.013,1.25,1250.0
0.45,28,18,1000,1.15,-0.078,1.07,1070.0
0.39,38,58,1000,1.1,-0.028,1.07,1070.0
0.64,51,60,1000,1.31,-0.04,1.27,1270.0
0.46,45,89,1000,1.15,0.015,1.17,1170.0
0.11,34,36,1000,0.86,0.004,0.86,860.0
0.41,55,20,1000,1.11,0.078,1.19,1190.0
0.9,42,17,1000,1.53,-0.042,1.49,1490.0
0.96,4,8,1000,1.69,0.039,1.72,1720.0
0.49,5,89,1000,1.27,0.081,1.35,1350.0
0.34,58,23,1000,1.05,-0.004,1.04,1040.0
0.39,12,37,1000,1.13,-0.017,1.11,1110.0
0.71,0,36,1000,1.95,0.076,2.03,2030.0
0.38,9,68,1000,1.13,-0.009,1.12,1120.0
0.55,32,59,1000,1.24,-0.07,1.17,1170.0
0.57,48,46,1000,1.25,-0.016,1.23,1230.0
0.5,13,72,1000,1.22,-0.05,1.17,1170.0
0.96,35,77,1000,1.58,-0.041,1.54,1540.0
0.97,28,71,1000,1.6,-0.07,1.53,1530.0
0.46,40,25,1000,1.16,0.115,1.27,1270.0
0.96,35,68,1000,1.58,-0.032,1.55,1550.0
0.97,49,28,1000,1.59,0.113,1.7,1700.0
0.76,35,8,1000,1.41,0.069,1.48,1480.0
0.29,45,5,1000,1.01,-0.029,0.98,980.0
0.86,15,2,1000,1.52,0.046,1.56,1560.0
0.66,8,86,1000,1.38,-0.041,1.34,1340.0
0.46,20,47,1000,1.17,0.12,1.29,1290.0
0.61,59,75,1000,1.28,0.048,1.33,1330.0
0.28,34,79,1000,1.01,-0.002,1.0,1000.0
0.84,51,66,1000,1.48,0.117,1.59,1590.0
0.49,59,30,1000,1.18,0.106,1.28,1280.0
0.94,30,3,1000,1.57,0.046,1.61,1610.0
0.05,57,55,1000,0.8,-0.033,0.77,770.0
0.96,39,33,1000,1.58,0.001,1.58,1580.0
0.4,6,79,1000,1.18,-0.049,1.13,1130.0
0.39,57,58,1000,1.09,-0.01,1.08,1080.0
0.34,21,73,1000,1.07,-0.036,1.03,1030.0
0.12,30,20,1000,0.87,0.117,0.99,990.0
0.74,3,16,1000,1.53,0.071,1.6,1600.0
0.12,51,4,1000,0.86,0.048,0.91,910.0
0.12,44,63,1000,0.87,-0.025,0.84,840.0
0.2,52,28,1000,0.93,-0.035,0.9,900.0
0.69,35,25,1000,1.35,0.038,1.39,1390.0
0.92,47,52,1000,1.54,-0.06,1.48,1480.0
0.19,18,1,1000,0.94,-0.019,0.92,920.0
0.71,39,47,1000,1.37,-0.019,1.35,1350.0
0.69,9,21,1000,1.4,0.062,1.46,1460.0
0.29,12,66,1000,1.04,0.12,1.16,1160.0
0.43,21,46,1000,1.14,-0.016,1.13,1130.0
0.77,21,53,1000,1.43,0.069,1.5,1500.0
0.44,43,5,1000,1.14,0.115,1.25,1250.0
0.62,24,24,1000,1.3,0.038,1.34,1340.0
0.15,41,72,1000,0.89,0.068,0.96,960.0
0.24,0,10,1000,1.55,0.059,1.61,1610.0
0.71,14,20,1000,1.39,-0.062,1.33,1330.0
0.3,39,10,1000,1.02,-0.064,0.96,960.0
0.42,51,50,1000,1.12,0.102,1.22,1220.0
0.53,26,77,1000,1.22,-0.05,1.17,1170.0
0.62,23,12,1000,1.3,-0.002,1.3,1300.0
0.96,18,16,1000,1.6,-0.004,1.59,1590.0
0.31,8,63,1000,1.08,0.048,1.13,1130.0
0.36,25,63,1000,1.08,0.013,1.09,1090.0
0.81,48,90,1000,1.45,0.011,1.46,1460.0
0.75,36,2,1000,1.4,0.058,1.46,1460.0
0.44,55,66,1000,1.13,0.069,1.2,1200.0
0.18,50,27,1000,0.91,0.092,1.01,1010.0
0.54,44,42,1000,1.22,0.033,1.26,1260.0
0.9,43,35,1000,1.53,0.035,1.56,1560.0
0.21,30,86,1000,0.95,-0.012,0.94,940.0
0.69,50,85,1000,1.35,-0.02,1.33,1330.0
0.32,56,75,1000,1.03,0.113,1.15,1150.0
0.69,2,13,1000,1.54,-0.065,1.47,1470.0
0.72,56,11,1000,1.37,-0.071,1.3,1300.0
0.55,4,58,1000,1.34,0.092,1.43,1430.0
0.9,59,78,1000,1.53,-0.055,1.47,1470.0
0.55,25,38,1000,1.24,0.11,1.35,1350.0
0.17,0,51,1000,1.49,-0.04,1.45,1450.0
0.43,34,13,1000,1.13,0.007,1.14,1140.0
0.39,23,10,1000,1.11,-0.044,1.06,1060.0
0.05,15,70,1000,0.83,-0.008,0.82,820.0
0.56,21,77,1000,1.25,0.103,1.36,1360.0
0.37,41,90,1000,1.08,0.067,1.15,1150.0
0.35,57,13,1000,1.06,0.039,1.1,1100.0
0.77,6,5,1000,1.49,0.045,1.54,1540.0
0.77,27,34,1000,1.43,-0.058,1.37,1370.0
0.69,48,65,1000,1.35,0.007,1.36,1360.0
0.95,2,7,1000,1.76,0.1,1.86,1860.0
0.41,15,16,1000,1.14,0.027,1.16,1160.0
0.21,42,6,1000,0.94,0.054,1.0,1000.0
0.46,29,4,1000,1.16,-0.056,1.11,1110.0
